"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 08:26:20 GMT 2023","Tue Jan 17 08:26:23 GMT 2023","3027","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"failed","Tue Jan 17 08:26:07 GMT 2023","Tue Jan 17 08:26:14 GMT 2023","7522","ui_tests","test_cases_page","TestCasesPage","","","User can see the 6 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:26:59 GMT 2023","Tue Jan 17 08:27:02 GMT 2023","2457","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""contacts"" link","
        user can go to all top links from the main page
        "
"passed","Tue Jan 17 08:24:54 GMT 2023","Tue Jan 17 08:24:56 GMT 2023","2842","ui_tests","test_cases_page","TestCasesPage","","","User can see the 4 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Tue Jan 17 08:25:09 GMT 2023","Tue Jan 17 08:25:17 GMT 2023","7947","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Tue Jan 17 08:26:40 GMT 2023","Tue Jan 17 08:26:48 GMT 2023","7939","ui_tests","test_cases_page","TestCasesPage","","","User can see the 9 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:24:41 GMT 2023","Tue Jan 17 08:24:45 GMT 2023","3753","ui_tests","test_cases_page","TestCasesPage","","","User can see the 6 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:26:47 GMT 2023","Tue Jan 17 08:26:49 GMT 2023","2097","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"failed","Tue Jan 17 08:26:29 GMT 2023","Tue Jan 17 08:26:36 GMT 2023","7596","ui_tests","test_cases_page","TestCasesPage","","","User can see the 8 case","
        test checks availability of each case page(doesn't check content!)
        "
"failed","Tue Jan 17 08:25:32 GMT 2023","Tue Jan 17 08:25:39 GMT 2023","7605","ui_tests","test_cases_page","TestCasesPage","","","User can see the 3 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Tue Jan 17 08:26:16 GMT 2023","Tue Jan 17 08:26:19 GMT 2023","2980","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","
        user can go to all top links from the main page
        "
"failed","Tue Jan 17 08:25:01 GMT 2023","Tue Jan 17 08:25:05 GMT 2023","4408","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends a correct data into the form","User is scrolling to the bottom and sends correct data"
