"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 18:18:28 GMT 2023","Sat Apr 08 18:18:30 GMT 2023","1621","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"skipped","Sat Apr 08 18:18:25 GMT 2023","Sat Apr 08 18:18:25 GMT 2023","0","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends a correct data into the form","User is scrolling to the bottom and sends correct data"
"passed","Sat Apr 08 18:18:28 GMT 2023","Sat Apr 08 18:18:29 GMT 2023","1381","ui_tests","test_cases_page","TestCasesPage","","","User can see the 7 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:42 GMT 2023","Sat Apr 08 18:18:42 GMT 2023","364","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","user can go to all top links from the main page"
"passed","Sat Apr 08 18:18:34 GMT 2023","Sat Apr 08 18:18:35 GMT 2023","1461","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Sat Apr 08 18:18:50 GMT 2023","Sat Apr 08 18:18:51 GMT 2023","1387","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""contacts"" link","user can go to all top links from the main page"
"passed","Sat Apr 08 18:18:15 GMT 2023","Sat Apr 08 18:18:16 GMT 2023","1378","ui_tests","test_cases_page","TestCasesPage","","","User can see the 4 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:43 GMT 2023","Sat Apr 08 18:18:44 GMT 2023","1381","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""about-us"" link","user can go to all top links from the main page"
"passed","Sat Apr 08 18:18:19 GMT 2023","Sat Apr 08 18:18:21 GMT 2023","1500","ui_tests","test_cases_page","TestCasesPage","","","User can see the 5 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:52 GMT 2023","Sat Apr 08 18:19:00 GMT 2023","7475","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""{element}"" link","
        user can go to all bottom links from the main page
        "
"passed","Sat Apr 08 18:18:15 GMT 2023","Sat Apr 08 18:18:16 GMT 2023","1491","ui_tests","test_cases_page","TestCasesPage","","","User can see the 2 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:38 GMT 2023","Sat Apr 08 18:18:38 GMT 2023","560","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","user can go to all top links from the main page"
"passed","Sat Apr 08 18:18:19 GMT 2023","Sat Apr 08 18:18:20 GMT 2023","1482","ui_tests","test_cases_page","TestCasesPage","","","User can see the 8 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:55 GMT 2023","Sat Apr 08 18:18:56 GMT 2023","1839","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""{element}"" link","
        user can go to all bottom links from the main page
        "
"passed","Sat Apr 08 18:18:11 GMT 2023","Sat Apr 08 18:18:12 GMT 2023","1419","ui_tests","test_cases_page","TestCasesPage","","","User can see the 3 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:47 GMT 2023","Sat Apr 08 18:18:49 GMT 2023","1340","ui_tests","test_main_page","TestMainPage","","","User can see and go to the ""cases"" link","user can go to all top links from the main page"
"passed","Sat Apr 08 18:18:23 GMT 2023","Sat Apr 08 18:18:25 GMT 2023","1413","ui_tests","test_cases_page","TestCasesPage","","","User can see the 6 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:38 GMT 2023","Sat Apr 08 18:18:39 GMT 2023","1108","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Sat Apr 08 18:18:11 GMT 2023","Sat Apr 08 18:18:13 GMT 2023","1353","ui_tests","test_cases_page","TestCasesPage","","","User can see the 1 case","
        test checks availability of each case page(doesn't check content!)
        "
"passed","Sat Apr 08 18:18:46 GMT 2023","Sat Apr 08 18:18:46 GMT 2023","367","ui_tests","test_main_page","TestMainPage","","","User can see and go to the """" link","user can go to all top links from the main page"
"passed","Sat Apr 08 18:18:33 GMT 2023","Sat Apr 08 18:18:35 GMT 2023","1434","ui_tests","test_form_from_main_page","TestMainPageForm","","","User sends an incorrect data into the request form","User is scrolling to the bottom and sends wrong data"
"passed","Sat Apr 08 18:18:23 GMT 2023","Sat Apr 08 18:18:25 GMT 2023","1419","ui_tests","test_cases_page","TestCasesPage","","","User can see the 9 case","
        test checks availability of each case page(doesn't check content!)
        "
